category,hub,business,rating,review_count,phone,website,address,review_snippet
Hot Tub Maintenance service,Lake Ariel PA,North Cascade Pools,4.3,6,(570) 290-1446,http://northcascadepools.square.site,133 Southerton Ln,
Hot Tub Maintenance service,Saylorsburg PA,Expert Spa Services,3.5,8,(570) 992-8884,http://businessyab.com/explore/united_states/pennsylvania/monroe_county/hamilton_township/sciota/expert_spa_service.html,,
Hot Tub Maintenance service,Saylorsburg PA,Desmond Pools & Spas,4.2,45,(610) 840-6948,http://www.desmondpools.com,24 hours   (610) 840-6948,"Great to work with, our family's pool turned out great!"
Hot Tub Maintenance service,Saylorsburg PA,Nana's Pool & Spa Care LLC,4.4,77,(610) 365-8967,http://nanasoasis.com,10 AM   (610) 365-8967,Brandon and Dustin are awesome technicians!
Hot Tub Maintenance service,Lake Wallenpaupack PA,"AquaCare Pool and Spa Services, LLC",3.0,2,(272) 318-9058,http://www.aquacarepoolandspaservices.com,24 hours   (272) 318-9058,
Hot Tub Maintenance service,Bushkill Falls PA,Northampton Pool and Patio,4.6,48,(610) 253-2120,http://www.northamptonpoolandpatio.com,2300 Wood Ave,
Hot Tub Maintenance service,Bushkill Falls PA,Integrity Pool & Spa Services,4.7,17,(610) 923-6654,http://www.integritypoolspa.com,,They will be my first call for any service needed forevermore!
Hot Tub Maintenance service,Bushkill Falls PA,Dave's Pool & Pond Services,2.9,7,(610) 330-0800,http://www.superpages.com/easton-pa/bpp/daves-pool-pond-service-658205,1121 Spruce St,
Hot Tub Maintenance service,Shawnee on Delaware PA,Spa work Shawnee and Salon,4.3,58,(570) 424-4000,http://www.shawneeinn.com/spa-poconos-pa,100 Shawnee Inn Dr,"Such a wonderful, relaxing, and restorative experience!"
Hot Tub Maintenance service,Shawnee on Delaware PA,Hot Springs Hot Tub By Delaware Hot Tub CO,4.9,59,(302) 396-5064,http://www.hottubde.com,16797 Coastal Hwy Unit 3,The crew that delivered our hot tub was top shelf.
Hot Tub Maintenance service,Camelback Resort Tannersville PA,Camelback Resort,4.3,,(855) 515-1283,http://www.camelbackresort.com,,Chair lifts are at pool and hot tub whirlpool
Hot Tub Maintenance service,Camelback Resort Tannersville PA,"Mountain Springs Lake Resort | Private Lake, Lakefront Cabins & Pocono Getaways",4.7,518,(570) 629-0251,http://www.mslresort.com,"2 of them had a hot tub).""",... bedrooms with clean bathrooms inside (2 of them had a hot tub).
Hot Tub Maintenance service,Resica Falls PA,The Spa Guys,4.9,270,(267) 394-2600,http://spaguys.us,802 Dorlan Mill Rd Ste 105,They came out and fixed the hot tub right up.
Hot Tub Maintenance service,Resica Falls PA,Bucks County Hot Tubs,4.7,77,(267) 987-7769,http://buckscountyhottubs.com,8330 Easton Rd Bld. F,... rebuilds and repairs his carefully selected used hot tubs.
Hot Tub Maintenance service,Resica Falls PA,Hot Tub Tech LLC,5.0,29,(717) 891-5310,http://hottubtechllc.secureserversites.net,1297 S Ogontz St,"Joe was amazing, knowledgeable and prompt at fixing our hot tub!"
Hot Tub Maintenance service,Marshalls Creek PA,Fun in the Sun Pools and More,4.9,219,(570) 242-0218,http://funpoolsnj.com,9 AM Mon   (570) 242-0218,Quick and reliable hot tub service!!
Handyman and property repairs,Stroudsburg PA,Mido the handyman,5.0,192,(347) 813-2013,http://www.chamberofcommerce.com/business-directory/pennsylvania/stroudsburg/handyman/2026897696-mido-the-handyman,132 Davis Ct,"Mido the handyman, reasonably priced, prompt, friendly, does excellent work."
Handyman and property repairs,Stroudsburg PA,The Stroudsburg Handyman,5.0,1,(570) 280-6724,http://thestroudsburghandyman.com,2105 Wallace St,
Handyman and property repairs,Stroudsburg PA,"JMJ Home Services, LLC",4.9,96,,http://www.jmjhomeservices.com,,"Fair pricing, quality workmanship, and easy to communicate with."
Handyman and property repairs,Stroudsburg PA,"C & S Handyman Services, LLC",5.0,1,,http://www.bestprosintown.com/pa/delaware-water-gap/c-and-s-handyman-services-llc-/,70 Main St,
Handyman and property repairs,Stroudsburg PA,The Poconos Handyman,5.0,9,(570) 861-9761,http://thestroudsburghandyman.com,9 AM   (570) 861-9761,"He was professional, punctual, and did excellent work from start to finish."
Handyman and property repairs,Stroudsburg PA,K & K Handyman Service,5.0,2,(570) 234-9983,http://www.bizapedia.com/pa/k-k-handyman-service.html,129 Ridgeway St,
Handyman and property repairs,East Stroudsburg PA,SK Handyman Services,4.2,9,(201) 724-8672,http://skhandyman.com,316 Del Sol Dr,I highly recommend Sabri and his handyman services.
Handyman and property repairs,East Stroudsburg PA,Odds & N's Handyman Services llc,5.0,1,(267) 225-8402,http://localitybiz.com/28513834/odds-&-n's-handyman-services-llc-east-stroudsburg,2354 Snapdragon Point,Top notch workmanship and timely response.
Handyman and property repairs,Mount Pocono PA,Jamie Marin Pocono Handyman,4.5,20,(570) 242-9334,http://www.findglocal.com/US/Mount-Pocono/121095068228471/Jamie-Marin-Pocono-Handyman,44 Cobblewood Dr,He does quality work and does his best to work within your schedule.
Handyman and property repairs,Mount Pocono PA,Pocono Property Experts LLC,5.0,4,(570) 856-7838,http://local.yahoo.com/info-240498943-pocono-property-experts-pocono-twp/,24 hours   (570) 856-7838,
Handyman and property repairs,Mount Pocono PA,Northeast Services PA,4.4,53,(570) 436-4701,http://mountpocono-pa.gov,197 Devils Hole Rd,
Handyman and property repairs,Jim Thorpe PA,Josh's Handyman Services,5.0,3,,http://joshshandyman.com,245 West Side Rd,Call to have a facet replace an he does a fantastic job
Handyman and property repairs,Jim Thorpe PA,Go Getters Handyman Service LLC,4.7,13,(484) 464-5353,http://www.gogettershandymanservices.com/book-online,12 AM Mon   (484) 464-5353,It looks absolutely beautiful and they finished in 2 days!
Handyman and property repairs,Jim Thorpe PA,FCJ Services,,,(484) 695-5147,http://jtborough.org,24 hours   (484) 695-5147,
Handyman and property repairs,Jim Thorpe PA,Pocono HandyMan,5.0,1,(570) 350-1817,http://www.poconohandyman.com,3904 Lookout Dr,
Handyman and property repairs,Jim Thorpe PA,Steigerwalt Joshua,,,(610) 377-4565,http://allpeople.com/joshua+steigerwalt_joshs-handyman-services_3T-us,,
Handyman and property repairs,Milford PA,Mr Fix It Handyman Services,5.0,2,(570) 296-6122,http://www.mrfixithandymanservice.com,104 E Catharine St,
Handyman and property repairs,Milford PA,Precision Home Improvement Services,5.0,27,(570) 559-4399,http://www.precisionhomepa.com,24 hours   (570) 559-4399,Rob always does a great job at a fair price!
Handyman and property repairs,Milford PA,Bob's Handyman's Services,,,(570) 409-1722,http://www.chamberofcommerce.com/business-directory/pennsylvania/milford/handyman/26721071-bob-s-handyman-s-services,113 Deep Brook Rd,
Handyman and property repairs,Milford PA,A PRO Handyman,5.0,13,(484) 895-7022,http://aprohandyman.com,3606 Nicholas St,He repaired a small masonry issue on my office building.
Handyman and property repairs,Milford PA,PB Property Care,5.0,5,(570) 775-3470,http://www.pbpropertycare.com,8 AM   (570) 775-3470,"Reasonable pricing, shows up on time and goes the extra mile."
Handyman and property repairs,Milford PA,Sprouse’s Handyman Services,4.0,4,(908) 644-4522,http://sprouseshandyman.com/services,24 hours   (908) 644-4522,
Handyman and property repairs,Hawley PA,Lake Region Handyman and Home Repair,5.0,9,(570) 445-1208,http://www.lakeregionhandymanandhomerepair.com,24 hours   (570) 445-1208,"He is prompt, reasonably priced and does good work."
Handyman and property repairs,Hawley PA,Billy Fix-It-All Handyman,4.9,175,(570) 229-8991,http://www.billyfixitall.com/handyman-repairs,9 AM Mon   (570) 229-8991,Billy Fix-It-All did a great job with the repairs needed in my home.
Handyman and property repairs,Hawley PA,Bluestone Home & Property Maintenance LLC,5.0,1,,http://www.bizapedia.com/pa/bluestone-home-and-property-maintenance-llc.html,8 AM Mon,
Handyman and property repairs,Hawley PA,Fixx Me Now,4.9,71,(570) 630-5995,http://www.fixxmenow.com,616 Hamlin Hwy,
Handyman and property repairs,Hawley PA,"Mr. Handyman of Easton, Bethlehem, Nazareth & Allentown",4.8,804,(610) 463-1667,http://www.mrhandyman.com/easton-e-bethlehem-nazareth/,2484 Birch St,Called mr.handyman and no problem they were willing to do work.
Handyman and property repairs,Hawley PA,Rapid Repair Handyman Services,5.0,5,(570) 955-9191,http://rapidrepairguys.com,331 N Main St,Would recommend for anyone looking for any handyman services.
Handyman and property repairs,Lehighton PA,All Fresh Handyman & Cleaning Services,5.0,9,,http://www.all-fresh-handyman-and-cleaning-services.com,24 hours,
Handyman and property repairs,Lehighton PA,Brothers Property Maintenance and Renovations LLC,,,(610) 526-8112,http://local.yahoo.com/info-238048481-brothers-property-maintenance-and-renovations-lehighton/,146 Oak Dr,
Handyman and property repairs,Lehighton PA,The Service Team,4.5,24,(610) 377-8450,http://www.chamberofcommerce.com/business-directory/pennsylvania/lehighton/roofing-contractor/2004955121-the-service-team,6565 Interchange Rd,
Handyman and property repairs,Honesdale PA,Chris Hernandez Pro Handyman LLC,2.3,3,(570) 616-2672,http://www.chamberofcommerce.com/business-directory/pennsylvania/honesdale/roofing-contractor/2011483374-chris-hernandez-pro-handyman-llc,5 Avery Ln,
Handyman and property repairs,Honesdale PA,Burns Handyman Services LLC,5.0,3,(570) 903-1216,http://www.chamberofcommerce.com/united-states/pennsylvania/honesdale/handyman/26724734-burns-handyman-services-llc,,
Handyman and property repairs,Honesdale PA,Tool Times Pro,5.0,10,(570) 503-6262,http://www.tooltimespro.com/book-online,8 AM Mon   (570) 503-6262,... recommend for anyone needing field or property maintenance!
Handyman and property repairs,Honesdale PA,Summit Handyman,5.0,13,(570) 575-9462,http://summithandymanpa.com/about/,30 AM Mon   (570) 575-9462,
Handyman and property repairs,Blakeslee PA,F & G Handyman Specialist,4.5,2,(570) 643-1292,http://www.homeyou.com/f-g-handyman-specialist-albrightsville-pa,479 Mountain Rd,
Handyman and property repairs,Blakeslee PA,"Blakeslee Home Improvement, Inc.",3.3,16,(570) 646-8498,http://blakesleeinc.com,373 PA-940 Box 1020,Blakeslee Home Improvement has always done wonderful work.
Handyman and property repairs,Lake Ariel PA,A To Z Home Maintenance,1.0,1,(570) 698-7759,http://www.allbiz.com/business/a-to-z-home-maintenance_14D-570-698-7759,1186 Hamlin Hwy,
Handyman and property repairs,Lake Ariel PA,Your Helpful Handyman,,,(203) 460-1621,http://yourhelpfulhandyman.com,1010 Deerfield Ct,
Handyman and property repairs,Lake Ariel PA,Jeff’s Mobile Mechanic and Handyman Services,5.0,6,(570) 845-4227,http://www.findglocal.com/US/Archbald/1072980295890201/Jeff's-Mobile-Mechanic-And-Handyman-Services,136 West St,"he always finds practical, cost-effective solutions without cutting corners."
Handyman and property repairs,Saylorsburg PA,Done Right Handyman Services,4.8,10,(800) 568-8070,http://www.donerightchoice.com,305 Roseto Ave Unit 175,
Handyman and property repairs,Saylorsburg PA,"G&J Handy Services, Construction LLC",5.0,13,(570) 990-9299,http://gandjhandyservices.com/contact/,6 AM Mon   (570) 990-9299,The quality of work was solid and everything was completed as promised.
