category,hub,business,phone,email,website,confidence
Window cleaning and power washing,Milford PA,HydroBrite Power Washing & Exterior Cleaning,(215) 444-3531,info@hydrobritepa.com,http://hydrobritepa.com,high
Window cleaning and power washing,Hawley PA,Dan Wagner Window Cleaning,(570) 630-0326,dan@danwagnerwindowcleaning.com,http://danwagnerwindowcleaning.com/service-area/hawley-pa/,high
Window cleaning and power washing,Blakeslee PA,Wet Windows LLc,(570) 235-8528,info@wetwindowsguy.com,http://www.wetwindowsguy.com,high
Window cleaning and power washing,Blakeslee PA,Summit Soft Wash,(570) 243-9116,contact@summitsoftwashpa.com,http://www.summitsoftwashpa.com,high
Window cleaning and power washing,Bushkill Falls PA,Above and Beyond Cleaning & Restoration LLC,(908) 343-7005,service@aboveandbeyondcleanllc.com,http://www.aboveandbeyondcleanllc.com,high
Window cleaning and power washing,Shawnee on Delaware PA,Pressure Brothers,(610) 417-7335,info@pressurebrothers.com,http://www.pressurebrothers.com/contact-us,high
Property Management and Co-Hosting,Stroudsburg PA,Forteca Estate,(347) 556-0089,forteca@fortecaestate.com,http://www.fortecaestate.com,high
Property Management and Co-Hosting,Stroudsburg PA,Bulldog Realty and Property Management,(570) 872-9272,michael.byrne@bulldog-realty.com,http://www.bulldog-realty.com,high
Property Management and Co-Hosting,Mount Pocono PA,Poconos Vacation Rental Management by Hyatus Stays,(201) 701-3713,reservations@hyatus.com,http://www.hyatus.com/vacation-rental-management/pocono-mountains-pennsylvania,high
Property Management and Co-Hosting,Honesdale PA,Jeremy Watson - Real Estate Agent - SIX PM LLC,(570) 352-5162,jwatson@thesixpm.com,http://thesixpm.com,high
Property Management and Co-Hosting,Honesdale PA,CG's Vacation Rental Property Management,(570) 390-0874,candace.riedel@cgsvacationrentals.com,http://cgsvacationrentals.com,high
Property Management and Co-Hosting,Blue Mountain Ski Area Palmerton PA,All County Lehigh Valley Property Management,(484) 261-6800,contact@allcountyprop.com,http://allcountyprop.com/locations/pennsylvania/bethlehem/,high
Turnover Cleaning Services,Hawley PA,Hawley,,hawleyb@ptd.net,http://hawley-borough.org,medium
Hot Tub Maintenance service,Milford PA,P Kornfeind Pool & Spa Service LLC,(610) 351-7522,pkornfeind@rcn.com,http://www.pkornfeindpoolandspaservicellc.com,medium
Hot Tub Maintenance service,Milford PA,Honey Spas,(610) 856-6051,info@kurtzwater.com,http://www.honeyspas.net,medium
Hot Tub Maintenance service,Blakeslee PA,A & J Pools,(570) 203-1161,anjpools@hotmail.com,http://www.anjpools.com,medium
Hot Tub Maintenance service,Lake Ariel PA,North Cascade Pools,(570) 290-1446,northcascadepools@gmail.com,http://northcascadepools.square.site,medium
Hot Tub Maintenance service,Shawnee on Delaware PA,Hot Springs Hot Tub By Delaware Hot Tub CO,(302) 396-5064,alwayscleanspa@gmail.com,http://www.hottubde.com,medium
Hot Tub Maintenance service,Marshalls Creek PA,Fun in the Sun Pools and More,(570) 242-0218,funinthesun.nj@gmail.com,http://funpoolsnj.com,medium
Handyman and property repairs,Saylorsburg PA,"G&J Handy Services, Construction LLC",(570) 990-9299,gnj.handyservices21@gmail.com,http://gandjhandyservices.com/contact/,medium
Handyman and property repairs,Tannersville PA,Lh Home Services,(570) 269-7096,lhhomeserv@gmail.com,http://lhhomeservice.com/services/,medium
Handyman and property repairs,Shawnee on Delaware PA,Deluxe Handyman Services,(570) 424-0584,handymandeluxeservices@yahoo.com,http://handymandeluxeservices.com/home,medium
Handyman and property repairs,Blue Mountain Ski Area Palmerton PA,Sargent and Sons Improvements-Masonry Contractor,(570) 730-7196,eben@eyebytes.com,http://ssstoneworks.com,medium
Handyman and property repairs,Resica Falls PA,Hometown Heroes Handyman and Junk Removal,(570) 460-0516,hometownhandyman17@gmail.com,http://hometownhandymanservicesllc.com,medium
Handyman and property repairs,Saw Creek Estates Bushkill PA,Justin's Handyman Service,,justinleblancpoconos@gmail.com,http://justinhandyman.com,medium
HVAC and plumbing emergency service,Stroudsburg PA,ETG Plumbing & Heating,(570) 800-3214,ecortez1992@gmail.com,http://www.etgplumbing.com,medium
HVAC and plumbing emergency service,Stroudsburg PA,Nauman Inc.,(570) 989-9849,hello.nau@acehomeservicescorp.com,http://www.naumaninc.com/hvac,medium
HVAC and plumbing emergency service,East Stroudsburg PA,A1 HVAC & Plumbing,(610) 333-5722,matt@a1hvacplumbing.com,http://a1hvacandplumbing.net,medium
HVAC and plumbing emergency service,Mount Pocono PA,Pocono Service Pro's Plumbing Heating Electrical.,(570) 335-0915,customrenovations@verizon.net,http://www.poconoservicepro.com,medium
HVAC and plumbing emergency service,Jim Thorpe PA,"Shawn Kresge Services, Inc.",(570) 325-2773,kresgeelectric@outlook.com,http://www.kresgeservices.com/?amp;utm_medium=organic&amp;utm_campaign=google_my_business&amp;utm_content=website_button,medium
HVAC and plumbing emergency service,Jim Thorpe PA,AOK Heating Air Conditioning Electrical,(610) 780-7363,aokqualityservice@gmail.com,http://aokqualityservice.com/hvac-electrician-jim-thorpe/,medium
HVAC and plumbing emergency service,Milford PA,Clear Choice Plumbing Inc.,(570) 223-3181,office.clearchoiceplumbing1@gmail.com,http://www.clearchoiceplumbinginc.com,medium
HVAC and plumbing emergency service,Milford PA,Elvis Electric Heating Cooling and Plumbing LLC,(484) 922-8588,elvisehcp2021@gmail.com,http://elvisehcp.com/about-us/,medium
HVAC and plumbing emergency service,Hawley PA,HVAC Steve LLC,(570) 390-8783,pahvacstevellc@gmail.com,http://www.hvacstevellc.com,medium
HVAC and plumbing emergency service,Hawley PA,Remarkable Plumbing and Heating,(570) 203-2540,remarkableplumbing@gmail.com,http://www.remarkableplumbingandheating.com,medium
HVAC and plumbing emergency service,Bartonsville PA,Leon Clapper Plumbing Heating & Water Conditioning,(570) 629-2833,leonclapper@msn.com,http://leonclapper.com,medium
HVAC and plumbing emergency service,Albrightsville PA,Absolute Plumbing & Heating,(570) 730-0823,absolutepl@outlook.com,http://absoluteplumbing-heating.com/services/,medium
HVAC and plumbing emergency service,Lake Wallenpaupack PA,"Vitale & Son Plumbing, Heating and A/C",(570) 991-0991,vitaleandson@gmail.com,http://www.vitaleandson.com,medium
HVAC and plumbing emergency service,Tanglwood Lakes Greentown PA,911 Emergency Plumbing and Heating,(877) 312-5754,911plumbingandheating@gmail.com,http://www.911plumbandheat.com,medium
Pest control services,Stroudsburg PA,A#1 Animal and Pest Control,(717) 422-3916,devin_isom@yahoo.com,http://animalandpestcontrol.com,medium
Pest control services,Jim Thorpe PA,A. D. Home Inspections LLC,(570) 467-7328,adhomes@ptd.net,http://adhomeinspections.com,medium
Pest control services,Milford PA,Eastern Pest Management,(570) 296-4222,easternpestmanagement@gmail.com,http://easternpestdmv.com/contact-us,medium
Pest control services,Lake Ariel PA,"Forbes Pest Control, LLC",(570) 906-0909,forbespestcontrol@gmail.com,http://www.forbespestcontrolllc.com,medium
Pest control services,Arrowhead Lake Albrightsville PA,Aspen Pest Control,(570) 620-0300,aspenpc@gmail.com,http://aspenpc.com/about-us/,medium
Pest control services,Shawnee on Delaware PA,Rid-Et Pest Control,(610) 759-0839,ridetpestcontrol@gmail.com,http://www.rid-etpestcontrol.com,medium
Trash valet garbage removal,Stroudsburg PA,We Cleanout Junk LLC,(570) 730-0447,wecleanoutjunk@gmail.com,http://wecleanoutjunk.com,medium
Trash valet garbage removal,Jim Thorpe PA,Freedom Sanitation LLC,(610) 866-8380,freedomhaulers@aol.com,http://freedomsanitation.com,medium
Trash valet garbage removal,Jim Thorpe PA,Randy's Trash,(484) 926-6500,randystrashcompany@gmail.com,http://randystrash.com,medium
Trash valet garbage removal,Saylorsburg PA,Albanese Cleanouts & Container Service,(610) 381-6909,albanesecleanouts@gmail.com,http://www.albanesecleanouts.com/service,medium
Chimney sweep and fireplace service,Bartonsville PA,Lehigh Valley Chimney,(610) 224-9333,lehighvalleychimney@gmail.com,http://lehighvalleychimney.com,medium
Septic pumping and inspection,Stroudsburg PA,Rob Moore & Son Septic Service LLC,(570) 977-3533,coachm60robert@aol.com,http://mooresepticservice.com,medium
Septic pumping and inspection,East Stroudsburg PA,"Eco American Pump & Plumbing, Inc.",(570) 588-2960,ecoamericanpump@yahoo.com,http://ecoamericanpumpinc.net,medium
Septic pumping and inspection,Mount Pocono PA,Gotta Go Septic,(570) 894-8690,gottagoteam@outlook.com,http://gottagopotties.com/septic-services/,medium
Septic pumping and inspection,Jim Thorpe PA,Kuhns Septic & Excavating,(610) 379-0410,luciano@latinotype.com,http://kuhnssepticandexcavating.com,medium
Septic pumping and inspection,Jim Thorpe PA,Blue Ridge Sanitary Services,(610) 703-7652,blueridgess21@gmail.com,http://blueridgesanitary.com,medium
Septic pumping and inspection,Milford PA,"Tri-State Septic and Drain Cleaning, Pike County Excavating LLC",(570) 409-2298,scott@tristatesepticandsewer.com,http://www.tristatessepticandsewer.com/about,medium
Septic pumping and inspection,Honesdale PA,J. Schwartz Septic Services Inc,(570) 470-2327,j.schwartzsepticservices@gmail.com,http://www.schwartzseptic.com,medium
Septic pumping and inspection,Shawnee on Delaware PA,"Delaware Valley Septic, Sewer & Storm",(610) 471-4770,dvs@4delval.com,http://www.delvalseptics.com,medium
Septic pumping and inspection,Pocono Ranch Lands East Stroudsburg PA,Pocono Well & Pump Service,(570) 243-1679,poconowellandpump@gmail.com,http://poconowellandpump.com,medium
Septic pumping and inspection,Hideout Lake Ariel PA,D&R Septic Service,(973) 390-6763,info@indiantypefoundry.com,http://drsepticservices.com,medium
Window cleaning and power washing,Stroudsburg PA,Capps Power Washing,(908) 848-7133,cappspowerwashing@gmail.com,http://cappspowerwashing.com/stroudsburg-pa/,medium
Window cleaning and power washing,East Stroudsburg PA,GreenGo Property Services,(570) 994-5884,greengohousewash@gmail.com,http://www.greengoproservice.com,medium
Window cleaning and power washing,Mount Pocono PA,Soft Wash Exteriors of Pocono Lake,(570) 599-1877,softwashexteriorspl@gmail.com,http://www.softwashpoconos.com,medium
Window cleaning and power washing,Hawley PA,Pro Clean Services NEPA,(570) 470-4330,procleanservicesnepa@gmail.com,http://www.procleanservicesnepa.com/about,medium
Window cleaning and power washing,Arrowhead Lake Albrightsville PA,Doyle's Professional Services LLC,(570) 230-4206,doylewindow@gmail.com,http://doyleproservice.com,medium
Window cleaning and power washing,Resica Falls PA,"A&S Power Washing, LLC",(484) 903-3216,a.spowerwashing50@gmail.com,http://www.aspowerwash.com,medium
Property Management and Co-Hosting,Stroudsburg PA,Pocono Lodging Co.,(425) 406-0123,poconolodgingco@gmail.com,http://www.poconolodging.co/rentals,medium
Property Management and Co-Hosting,Jim Thorpe PA,Black Rock Property Management LLC,(570) 203-1685,blackrockmanagementpa@gmail.com,http://blackrockpa.com,medium
Property Management and Co-Hosting,Lehighton PA,Castle Gate Realty Lehighton,(610) 379-3524,castleconfident@gmail.com,http://www.castleconfident.com,medium
Property Management and Co-Hosting,Hideout Lake Ariel PA,The Woodhill Hideout,,thewoodhillhideout@gmail.com,http://thewoodhillhideout.com,medium
Property Management and Co-Hosting,Indian Mountain Lake Lehighton PA,Lake View Lodge Vacation Rental,(973) 216-0864,lakeviewpoconos@gmail.com,http://lakeviewlodge.zeevou.direct,medium
